fromate,randwrite,randwrite,randwrite,randwrite,randwrite,randwrite,randwrite,randwrite,randwrite,randwrite
IOPS,3980,2810,1930,5917,3680,2913,1829,1106,550,278
BW,16.3,46.0,63.3,388,482,764,959,1160,1154,1168
